Province,Specialty,Population,Physician_Count,Physicians_per_100k,Service_Volume,Services_per_Physician
Ontario,Neurology,15788400,502,3.1795495427022376,967625.0,1927.5398406374502
Ontario,Psychiatry,15788400,2220,14.060956145017862,4632344.0,2086.6414414414417
Ontario,Pediatrics,15788400,1372,8.689924248182209,3095592.0,2256.262390670554
Ontario,Dermatology,15788400,256,1.6214435914975551,1302460.0,5087.734375
Ontario,General Surgery,15788400,807,5.111347571634871,2332027.0,2889.7484510532836
Ontario,Urology,15788400,321,2.033138253401231,1373441.0,4278.632398753894
Ontario,Orthopedic Surgery,15788400,654,4.14228167515391,2082726.0,3184.5963302752293
Ontario,Ophthalmology,15788400,467,2.9578678016771804,3252932.0,6965.593147751606
Ontario,Obstetrics/Gynecology,15788400,976,6.1817536925844285,3154859.0,3232.4375
Manitoba,Internal Medicine,1461000,126,8.624229979466119,964395.0,7653.928571428572
Manitoba,Cardiology,1461000,42,2.8747433264887063,113730.0,2707.8571428571427
Manitoba,Gastroenterology,1461000,20,1.3689253935660506,50523.0,2526.15
Manitoba,Neurology,1461000,43,2.943189596167009,89819.0,2088.813953488372
Manitoba,Psychiatry,1461000,192,13.141683778234087,419270.0,2183.6979166666665
Manitoba,Pediatrics,1461000,143,9.787816563997263,324589.0,2269.853146853147
Manitoba,Dermatology,1461000,21,1.4373716632443532,88344.0,4206.857142857143
Manitoba,General Surgery,1461000,83,5.68104038329911,185064.0,2229.6867469879517
Manitoba,Urology,1461000,22,1.5058179329226558,77826.0,3537.5454545454545
Manitoba,Orthopedic Surgery,1461000,65,4.4490075290896645,129376.0,1990.4
Manitoba,Ophthalmology,1461000,38,2.600958247775496,130850.0,3443.4210526315787
Manitoba,Obstetrics/Gynecology,1461000,100,6.844626967830253,241359.0,2413.59
Saskatchewan,Internal Medicine,1217700,117,9.608277900960827,489055.0,4179.957264957265
Saskatchewan,Cardiology,1217700,37,3.0385152336371846,85481.0,2310.2972972972975
Saskatchewan,Gastroenterology,1217700,18,1.4781966001478197,41899.0,2327.722222222222
Saskatchewan,Neurology,1217700,35,2.874271166954094,32112.0,917.4857142857143
Saskatchewan,Psychiatry,1217700,113,9.279789767594647,171947.0,1521.654867256637
Saskatchewan,Pediatrics,1217700,98,8.047959267471462,79529.0,811.5204081632653
Saskatchewan,Dermatology,1217700,11,0.9033423667570009,33961.0,3087.3636363636365
Saskatchewan,General Surgery,1217700,84,6.898250800689825,103837.0,1236.154761904762
Saskatchewan,Urology,1217700,17,1.3960745668062742,31567.0,1856.8823529411766
Saskatchewan,Orthopedic Surgery,1217700,54,4.434589800443459,112137.0,2076.6111111111113
Saskatchewan,Ophthalmology,1217700,30,2.463661000246366,184544.0,6151.466666666666
Saskatchewan,Obstetrics/Gynecology,1217700,81,6.651884700665189,127873.0,1578.679012345679
Alberta,Internal Medicine,4734700,521,11.003865081208946,2652189.0,5090.573896353167
Alberta,Cardiology,4734700,167,3.527150611443175,472844.0,2831.4011976047905
Alberta,Gastroenterology,4734700,128,2.7034447800283017,136863.0,1069.2421875
Alberta,Neurology,4734700,206,4.350856442858047,187727.0,911.2961165048544
Alberta,Psychiatry,4734700,679,14.340929731556383,2295519.0,3380.7349042709866
Alberta,Pediatrics,4734700,552,11.658605613872052,955712.0,1731.3623188405797
Alberta,Dermatology,4734700,92,1.9431009356453417,432642.0,4702.630434782609
Alberta,General Surgery,4734700,195,4.118529157074366,379396.0,1945.6205128205129
Alberta,Urology,4734700,58,1.2249984159503242,195457.0,3369.948275862069
Alberta,Orthopedic Surgery,4734700,209,4.414218429889961,358195.0,1713.8516746411483
Alberta,Ophthalmology,4734700,131,2.766806767060215,699265.0,5337.900763358779
Alberta,Obstetrics/Gynecology,4734700,269,5.681458170528228,619900.0,2304.460966542751
British Columbia,Internal Medicine,5585500,673,12.049055590367917,2850985.0,4236.233283803864
British Columbia,Cardiology,5585500,176,3.15101602363262,449957.0,2556.5738636363635
British Columbia,Gastroenterology,5585500,102,1.8261570136961773,259992.0,2548.9411764705883
British Columbia,Neurology,5585500,233,4.171515531286366,256049.0,1098.9227467811158
British Columbia,Psychiatry,5585500,973,17.42010563065079,1654851.0,1700.7718396711202
British Columbia,Pediatrics,5585500,496,8.88013606660102,483831.0,975.4657258064516
British Columbia,Dermatology,5585500,95,1.700832512756244,301030.0,3168.7368421052633
British Columbia,General Surgery,5585500,309,5.5321815414913615,521999.0,1689.31715210356
British Columbia,Urology,5585500,119,2.130516515978874,380078.0,3193.9327731092435
British Columbia,Orthopedic Surgery,5585500,301,5.388953540417152,484847.0,1610.7873754152824
British Columbia,Ophthalmology,5585500,241,4.314743532360577,771735.0,3202.219917012448
British Columbia,Obstetrics/Gynecology,5585500,382,6.839137051293528,544338.0,1424.9685863874345
Yukon,Internal Medicine,45700,0,0.0,,
Yukon,Cardiology,45700,0,0.0,,
Yukon,Gastroenterology,45700,0,0.0,,
Yukon,Neurology,45700,0,0.0,,
Yukon,Psychiatry,45700,2,4.3763676148796495,95.0,47.5
Yukon,Pediatrics,45700,3,6.564551422319474,26.0,8.666666666666666
Yukon,Dermatology,45700,0,0.0,,
Yukon,General Surgery,45700,5,10.940919037199125,3101.0,620.2
Yukon,Urology,45700,0,0.0,,
Yukon,Orthopedic Surgery,45700,1,2.1881838074398248,4110.0,4110.0
Yukon,Ophthalmology,45700,0,0.0,,
Yukon,Obstetrics/Gynecology,45700,4,8.752735229759299,1931.0,482.75
Northwest Territories,Internal Medicine,44300,1,2.257336343115124,,
Northwest Territories,Cardiology,44300,0,0.0,,
Northwest Territories,Gastroenterology,44300,0,0.0,,
Northwest Territories,Neurology,44300,0,0.0,,
Northwest Territories,Psychiatry,44300,2,4.514672686230248,,
Northwest Territories,Pediatrics,44300,3,6.772009029345373,,
Northwest Territories,Dermatology,44300,0,0.0,,
Northwest Territories,General Surgery,44300,1,2.257336343115124,,
Northwest Territories,Urology,44300,0,0.0,,
Northwest Territories,Orthopedic Surgery,44300,1,2.257336343115124,,
Northwest Territories,Ophthalmology,44300,1,2.257336343115124,,
Northwest Territories,Obstetrics/Gynecology,44300,1,2.257336343115124,,
Nunavut,Internal Medicine,40900,0,0.0,,
Nunavut,Cardiology,40900,0,0.0,,
Nunavut,Gastroenterology,40900,0,0.0,,
Nunavut,Neurology,40900,0,0.0,,
Nunavut,Psychiatry,40900,0,0.0,,
Nunavut,Pediatrics,40900,2,4.88997555012225,,
Nunavut,Dermatology,40900,0,0.0,,
Nunavut,General Surgery,40900,0,0.0,,
Nunavut,Urology,40900,0,0.0,,
Nunavut,Orthopedic Surgery,40900,0,0.0,,
Nunavut,Ophthalmology,40900,0,0.0,,
Nunavut,Obstetrics/Gynecology,40900,1,2.444987775061125,,
