HCP_ID,Province,Specialty,Market_Intensity,Patient_Volume,Category_TRx,Target_TRx,Target_Share,Competitor_Share,Category_Growth,New_Patient_Share,Field_Engagement,Digital_Engagement,Field_Engagement_Level,Digital_Engagement_Level,Business_Segment,KMeans_Cluster,Opportunity_Score,Priority_Tier,Recommended_Engagement_Strategy
HCP_0032,Newfoundland and Labrador,Obstetrics/Gynecology,0.6662353864896803,624,411,166,0.4038929440389294,0.5961070559610706,0.2577403558120759,0.216479260823721,78,82,High,High,Core / Maintenance,0,-0.07129161224667999,Low Priority,Maintain efficiently
HCP_0033,Prince Edward Island,Internal Medicine,0.0397224820633718,79,35,20,0.5714285714285714,0.4285714285714286,-0.0262491856274484,0.2609826362933658,28,37,Low,Medium,Core / Maintenance,4,-1.1030986542739303,Low Priority,Maintain efficiently
HCP_0034,Prince Edward Island,Psychiatry,0.3817615754515179,171,129,28,0.2170542635658914,0.7829457364341086,0.045044877559126,0.3950970502597308,66,31,Medium,Low,Core / Maintenance,3,-0.1476575629941172,Low Priority,Maintain efficiently
HCP_0035,Prince Edward Island,Pediatrics,0.0882053892938238,158,95,46,0.4842105263157895,0.5157894736842106,0.1167226516210749,0.3782175957613785,74,9,High,Low,Core / Maintenance,4,-0.5996235921748234,Low Priority,Maintain efficiently
HCP_0036,Prince Edward Island,General Surgery,0.3799612277778313,161,93,44,0.4731182795698925,0.5268817204301075,-0.0209541746562273,0.3517535354025926,2,7,Low,Low,Core / Maintenance,4,-0.7034051867503315,Low Priority,Maintain efficiently
HCP_0037,Prince Edward Island,Orthopedic Surgery,0.5935453892995415,332,211,91,0.4312796208530806,0.5687203791469194,-0.17158876573653,0.3611956874967004,27,89,Low,High,Core / Maintenance,4,-0.44622434763088337,Low Priority,Maintain efficiently
HCP_0038,Prince Edward Island,Obstetrics/Gynecology,0.035035792968041,38,25,15,0.6,0.4,-0.0014385432299839,0.213747214152215,73,93,High,High,Core / Maintenance,4,-1.2670733579183304,Low Priority,Maintain efficiently
HCP_0039,Nova Scotia,Internal Medicine,0.2396583639010528,123,53,14,0.2641509433962264,0.7358490566037736,0.1735328667112448,0.2801055145121127,96,74,High,High,Core / Maintenance,3,-0.29800704614297957,Low Priority,Maintain efficiently
HCP_0040,Nova Scotia,Internal Medicine,0.2396583639010528,210,141,17,0.1205673758865248,0.8794326241134752,0.0095725847857833,0.363273353027675,47,19,Medium,Low,Emerging Opportunity,3,0.022971561030851573,Medium Priority,Develop engagement
HCP_0041,Nova Scotia,Internal Medicine,0.2396583639010528,254,126,53,0.4206349206349206,0.5793650793650793,-0.0515721161750774,0.1875327677469735,79,19,High,Low,Core / Maintenance,2,-0.761910191674428,Low Priority,Maintain efficiently
HCP_0042,Nova Scotia,Internal Medicine,0.2396583639010528,208,143,65,0.4545454545454545,0.5454545454545454,0.1610806651403266,0.3866168674209141,9,8,Low,Low,Core / Maintenance,4,-0.4290855228461581,Low Priority,Maintain efficiently
HCP_0043,Nova Scotia,Internal Medicine,0.2396583639010528,188,137,50,0.364963503649635,0.635036496350365,0.0103070124772336,0.195525121724214,32,71,Low,High,Core / Maintenance,2,-0.7088555380614948,Low Priority,Maintain efficiently
HCP_0044,Nova Scotia,Internal Medicine,0.2396583639010528,176,127,21,0.1653543307086614,0.8346456692913385,-0.011219297638026,0.2603789328876255,99,14,High,Low,Core / Maintenance,3,-0.24825972406414562,Low Priority,Maintain efficiently
HCP_0045,Nova Scotia,Internal Medicine,0.2396583639010528,117,73,24,0.3287671232876712,0.6712328767123288,0.0679347307595971,0.2984316496453302,66,97,Medium,High,Core / Maintenance,3,-0.5264953159371137,Low Priority,Maintain efficiently
HCP_0046,Nova Scotia,Cardiology,0.1446910890951373,118,72,16,0.2222222222222222,0.7777777777777778,0.1424900251542545,0.3827072045765784,68,87,High,High,Core / Maintenance,3,-0.1079808136994321,Low Priority,Maintain efficiently
HCP_0047,Nova Scotia,Cardiology,0.1446910890951373,129,59,17,0.288135593220339,0.711864406779661,0.3358056238079055,0.1356156959182931,11,96,Low,High,Core / Maintenance,0,-0.35606468521919543,Low Priority,Maintain efficiently
HCP_0048,Nova Scotia,Cardiology,0.1446910890951373,220,156,63,0.4038461538461538,0.5961538461538461,0.1492683329188907,0.3111458423835248,56,62,Medium,Medium,Core / Maintenance,4,-0.4500475723819366,Low Priority,Maintain efficiently
HCP_0049,Nova Scotia,Cardiology,0.1446910890951373,172,87,40,0.4597701149425287,0.5402298850574713,0.1891807959666013,0.2322854551504288,43,90,Medium,High,Core / Maintenance,0,-0.670860545688063,Low Priority,Maintain efficiently
HCP_0050,Nova Scotia,Gastroenterology,0.1160192145149872,74,44,8,0.1818181818181818,0.8181818181818181,-0.0107159438785426,0.1439949992172244,12,20,Low,Low,Core / Maintenance,2,-0.5519532679243746,Low Priority,Maintain efficiently
HCP_0051,Nova Scotia,Gastroenterology,0.1160192145149872,153,79,22,0.2784810126582278,0.7215189873417722,-0.0731041727163371,0.3218123939287367,23,4,Low,Low,Core / Maintenance,3,-0.3905808922406924,Low Priority,Maintain efficiently
HCP_0052,Nova Scotia,Neurology,0.3941612802860897,219,99,20,0.202020202020202,0.797979797979798,0.0574797619542947,0.2432777980608463,43,34,Medium,Medium,Core / Maintenance,3,-0.28596245881354654,Low Priority,Maintain efficiently
HCP_0053,Nova Scotia,Neurology,0.3941612802860897,198,129,21,0.1627906976744186,0.8372093023255813,0.0628603898311515,0.2813408372273865,56,84,Medium,High,Core / Maintenance,3,-0.16880061382462813,Low Priority,Maintain efficiently
HCP_0054,Nova Scotia,Psychiatry,0.1248817077368397,175,74,36,0.4864864864864865,0.5135135135135135,-0.0794215289637516,0.1630153740022653,95,67,High,High,Core / Maintenance,2,-0.9983293657630192,Low Priority,Maintain efficiently
HCP_0055,Nova Scotia,Psychiatry,0.1248817077368397,203,142,78,0.5492957746478874,0.4507042253521126,0.0289646564115184,0.2184458831396618,15,47,Low,Medium,Core / Maintenance,4,-1.0061361544616676,Low Priority,Maintain efficiently
HCP_0056,Nova Scotia,Psychiatry,0.1248817077368397,196,103,26,0.2524271844660194,0.7475728155339806,0.0979181122062957,0.2660739878458235,95,79,High,High,Core / Maintenance,3,-0.31915023929653547,Low Priority,Maintain efficiently
HCP_0057,Nova Scotia,Psychiatry,0.1248817077368397,105,42,19,0.4523809523809524,0.5476190476190477,0.0932472074021696,0.1917187849944454,100,94,High,High,Core / Maintenance,0,-0.8994109467649359,Low Priority,Maintain efficiently
HCP_0058,Nova Scotia,Psychiatry,0.1248817077368397,127,77,42,0.5454545454545454,0.4545454545454546,0.1105145424061126,0.1194303889466954,99,89,High,High,Core / Maintenance,0,-1.1404360772635802,Low Priority,Maintain efficiently
HCP_0059,Nova Scotia,Psychiatry,0.1248817077368397,159,67,35,0.5223880597014925,0.4776119402985075,0.0849157676164931,0.3865741723103564,20,61,Low,Medium,Core / Maintenance,4,-0.6966278790457772,Low Priority,Maintain efficiently
HCP_0060,Nova Scotia,Psychiatry,0.1248817077368397,199,102,15,0.1470588235294117,0.8529411764705882,-0.0108410391124066,0.2290136390149161,75,34,High,Medium,Core / Maintenance,3,-0.23886615861866617,Low Priority,Maintain efficiently
HCP_0061,Nova Scotia,Psychiatry,0.1248817077368397,120,82,47,0.573170731707317,0.426829268292683,-0.0116680751978611,0.3068721296006952,50,69,Medium,High,Core / Maintenance,4,-0.998062051588878,Low Priority,Maintain efficiently
HCP_0062,Nova Scotia,Psychiatry,0.1248817077368397,132,56,14,0.25,0.75,-0.0938741677592651,0.1938665177446203,20,96,Low,High,Core / Maintenance,2,-0.549340496018021,Low Priority,Maintain efficiently
HCP_0063,Nova Scotia,Psychiatry,0.1248817077368397,96,71,17,0.2394366197183098,0.7605633802816901,0.2641730047022114,0.1742961174090007,59,20,Medium,Low,Core / Maintenance,0,-0.32574304664553144,Low Priority,Maintain efficiently
HCP_0064,Nova Scotia,Psychiatry,0.1248817077368397,93,37,3,0.081081081081081,0.9189189189189187,0.0516140437543151,0.1925075044634937,50,79,Medium,High,Core / Maintenance,3,-0.2634208300299679,Low Priority,Maintain efficiently
HCP_0065,Nova Scotia,Psychiatry,0.1248817077368397,188,94,30,0.3191489361702128,0.6808510638297872,0.0230176333046177,0.1932188253249774,20,38,Low,Medium,Core / Maintenance,2,-0.6262940452532849,Low Priority,Maintain efficiently
HCP_0066,Nova Scotia,Psychiatry,0.1248817077368397,227,158,17,0.1075949367088607,0.8924050632911392,-0.061455049774295,0.2404630405796837,5,33,Low,Medium,Core / Maintenance,3,-0.12065465461412744,Low Priority,Maintain efficiently
HCP_0067,Nova Scotia,Psychiatry,0.1248817077368397,138,73,14,0.1917808219178082,0.8082191780821918,0.4022789482793333,0.2402144544934771,72,14,High,Low,Core / Maintenance,0,0.07164894592324378,Medium Priority,Maintain efficiently
HCP_0068,Nova Scotia,Psychiatry,0.1248817077368397,201,89,20,0.2247191011235955,0.7752808988764045,-0.0787993638667474,0.2240038355590051,64,5,Medium,Low,Core / Maintenance,2,-0.39028007289221894,Low Priority,Maintain efficiently
HCP_0069,Nova Scotia,Pediatrics,0.2648249486139601,234,127,63,0.4960629921259842,0.5039370078740157,-0.0014617510727287,0.0971750247211033,75,65,High,Medium,Core / Maintenance,2,-1.058393593686117,Low Priority,Maintain efficiently
HCP_0070,Nova Scotia,Pediatrics,0.2648249486139601,164,83,44,0.5301204819277109,0.4698795180722891,0.0999004203543272,0.2236264174751859,57,87,Medium,High,Core / Maintenance,4,-0.9326240748755483,Low Priority,Maintain efficiently
HCP_0071,Nova Scotia,Pediatrics,0.2648249486139601,234,172,37,0.2151162790697674,0.7848837209302326,0.1220255558893133,0.109186365147228,77,55,High,Medium,Core / Maintenance,0,-0.41860351914409494,Low Priority,Maintain efficiently
HCP_0072,Nova Scotia,Pediatrics,0.2648249486139601,353,185,97,0.5243243243243243,0.4756756756756757,0.164951846625882,0.0941475252035178,5,48,Low,Medium,Core / Maintenance,0,-0.8549160776792278,Low Priority,Maintain efficiently
HCP_0073,Nova Scotia,Pediatrics,0.2648249486139601,203,145,76,0.5241379310344828,0.4758620689655172,0.2669130209323115,0.3764260010694087,64,91,Medium,High,Core / Maintenance,4,-0.4506745615152588,Low Priority,Maintain efficiently
HCP_0074,Nova Scotia,Pediatrics,0.2648249486139601,356,269,127,0.4721189591078067,0.5278810408921932,0.1107389186552854,0.2617325046016965,85,0,High,Low,Core / Maintenance,4,-0.5686461967613325,Low Priority,Maintain efficiently
HCP_0075,Nova Scotia,Pediatrics,0.2648249486139601,82,47,6,0.1276595744680851,0.8723404255319149,-0.0767236959960001,0.2808215203436045,33,64,Medium,Medium,Core / Maintenance,3,-0.23719910016696344,Low Priority,Maintain efficiently
HCP_0076,Nova Scotia,Dermatology,0.5363103623163641,391,299,128,0.4280936454849498,0.5719063545150502,0.0191665849853862,0.1906277846166773,55,27,Medium,Low,Core / Maintenance,4,-0.6395165307248151,Low Priority,Maintain efficiently
HCP_0077,Nova Scotia,Dermatology,0.5363103623163641,302,166,95,0.572289156626506,0.4277108433734939,0.0869398847016661,0.3681433121702024,74,99,High,High,Core / Maintenance,4,-0.6779939991441589,Low Priority,Maintain efficiently
HCP_0078,Nova Scotia,General Surgery,0.7172241063190541,305,240,102,0.425,0.575,0.2981871249806988,0.2732756713528829,2,19,Low,Low,Core / Maintenance,0,-0.2830850413401945,Low Priority,Maintain efficiently
HCP_0079,Nova Scotia,General Surgery,0.7172241063190541,350,153,36,0.2352941176470588,0.7647058823529411,-0.1177366574109156,0.3192094543332556,41,47,Medium,Medium,Core / Maintenance,3,-0.1239434740576939,Low Priority,Maintain efficiently
HCP_0080,Nova Scotia,General Surgery,0.7172241063190541,169,114,37,0.3245614035087719,0.6754385964912281,0.1943091806270273,0.1789968641596998,61,71,Medium,High,Core / Maintenance,0,-0.4935964769809238,Low Priority,Maintain efficiently
HCP_0081,Nova Scotia,General Surgery,0.7172241063190541,314,188,76,0.4042553191489361,0.5957446808510638,0.07158972434557,0.3860041582866939,5,64,Low,Medium,Core / Maintenance,4,-0.34287595714729163,Low Priority,Maintain efficiently
HCP_0082,Nova Scotia,General Surgery,0.7172241063190541,384,213,70,0.3286384976525822,0.6713615023474178,0.1505396642275376,0.3371614515554103,5,89,Low,High,Core / Maintenance,3,-0.11051590512078738,Low Priority,Maintain efficiently
HCP_0083,Nova Scotia,Urology,0.7412390624513446,578,377,44,0.1167108753315649,0.883289124668435,0.0377606340036881,0.3488819620550903,62,50,Medium,Medium,Emerging Opportunity,3,0.3625176170194121,Medium Priority,Develop engagement
HCP_0084,Nova Scotia,Urology,0.7412390624513446,287,196,43,0.2193877551020408,0.7806122448979592,-0.0510919156151591,0.110267993599014,19,42,Low,Medium,Core / Maintenance,2,-0.4682757935897376,Low Priority,Maintain efficiently
HCP_0085,Nova Scotia,Orthopedic Surgery,0.637043603328462,241,97,48,0.4948453608247423,0.5051546391752577,0.1401047335281598,0.1448371227549268,20,48,Low,Medium,Core / Maintenance,0,-0.861522743284592,Low Priority,Maintain efficiently
HCP_0086,Nova Scotia,Orthopedic Surgery,0.637043603328462,268,125,65,0.52,0.48,0.1285317232526745,0.149969309889252,1,24,Low,Low,Core / Maintenance,0,-0.889211606301496,Low Priority,Maintain efficiently
HCP_0087,Nova Scotia,Orthopedic Surgery,0.637043603328462,440,301,38,0.1262458471760797,0.8737541528239203,0.1666468358887666,0.1448182281364049,89,73,High,High,Core / Maintenance,0,0.05432224078126294,Medium Priority,Maintain efficiently
HCP_0088,Nova Scotia,Orthopedic Surgery,0.637043603328462,358,239,137,0.5732217573221757,0.4267782426778242,0.0484034437545637,0.3493928567365008,94,75,High,High,Core / Maintenance,4,-0.701073177749731,Low Priority,Maintain efficiently
HCP_0089,Nova Scotia,Ophthalmology,0.8151921117585501,300,236,54,0.2288135593220339,0.771186440677966,-0.0219786427983819,0.0611596783230072,89,40,High,Medium,Core / Maintenance,2,-0.5471812624230226,Low Priority,Maintain efficiently
HCP_0090,Nova Scotia,Ophthalmology,0.8151921117585501,432,304,126,0.4144736842105263,0.5855263157894737,-0.137054439402861,0.076634996143271,55,70,Medium,High,Core / Maintenance,2,-0.7456114240037727,Low Priority,Maintain efficiently
HCP_0091,Nova Scotia,Ophthalmology,0.8151921117585501,374,292,135,0.4623287671232877,0.5376712328767124,0.1483247921767287,0.1458702047204663,95,63,High,Medium,Core / Maintenance,0,-0.6609777422377505,Low Priority,Maintain efficiently
HCP_0092,Nova Scotia,Ophthalmology,0.8151921117585501,507,345,171,0.4956521739130435,0.5043478260869565,0.1008667378932783,0.1199555411273052,9,60,Low,Medium,Core / Maintenance,0,-0.6924675404384995,Low Priority,Maintain efficiently
HCP_0093,Nova Scotia,Obstetrics/Gynecology,0.2772844240674396,165,86,49,0.5697674418604651,0.4302325581395348,-0.0658939159436751,0.1311508648589969,86,11,High,Low,Core / Maintenance,2,-1.2121449635407506,Low Priority,Maintain efficiently
HCP_0094,Nova Scotia,Obstetrics/Gynecology,0.2772844240674396,188,83,18,0.216867469879518,0.7831325301204819,-0.0146288407955949,0.329280116238655,69,80,High,High,Core / Maintenance,3,-0.23002478446963692,Low Priority,Maintain efficiently
HCP_0095,Nova Scotia,Obstetrics/Gynecology,0.2772844240674396,184,131,68,0.5190839694656488,0.4809160305343511,-0.0060110574341728,0.2470943078622164,22,68,Low,High,Core / Maintenance,4,-0.9246816781263718,Low Priority,Maintain efficiently
HCP_0096,Nova Scotia,Obstetrics/Gynecology,0.2772844240674396,126,83,10,0.1204819277108433,0.8795180722891567,-0.1279581318378901,0.0520197314525388,91,13,High,Low,Core / Maintenance,2,-0.5248282768460029,Low Priority,Maintain efficiently
HCP_0097,Nova Scotia,Obstetrics/Gynecology,0.2772844240674396,234,98,43,0.4387755102040816,0.5612244897959184,-0.048121887592616,0.2002629679964683,29,33,Low,Medium,Core / Maintenance,2,-0.7960981993355133,Low Priority,Maintain efficiently
HCP_0098,Nova Scotia,Obstetrics/Gynecology,0.2772844240674396,231,126,58,0.4603174603174603,0.5396825396825398,-0.0860596428167625,0.1927597243976256,77,47,High,Medium,Core / Maintenance,2,-0.8506932937352765,Low Priority,Maintain efficiently
HCP_0099,New Brunswick,Internal Medicine,0.4657319262693425,273,214,90,0.4205607476635514,0.5794392523364487,0.0005025185734476,0.0898808443055902,36,60,Medium,Medium,Core / Maintenance,2,-0.8900696809510553,Low Priority,Maintain efficiently
HCP_0100,New Brunswick,Internal Medicine,0.4657319262693425,251,151,29,0.1920529801324503,0.8079470198675497,-0.0386436997995475,0.28664962601051,54,80,Medium,High,Core / Maintenance,3,-0.1868314606638861,Low Priority,Maintain efficiently
HCP_0101,New Brunswick,Internal Medicine,0.4657319262693425,166,95,50,0.5263157894736842,0.4736842105263158,-0.1452405905040098,0.2957340159328219,95,34,High,Medium,Core / Maintenance,4,-0.8825650451408693,Low Priority,Maintain efficiently
HCP_0102,New Brunswick,Internal Medicine,0.4657319262693425,236,138,20,0.144927536231884,0.855072463768116,0.2927108276683378,0.3023126266682342,48,64,Medium,Medium,Core / Maintenance,3,0.2133305812152316,Medium Priority,Maintain efficiently
HCP_0103,New Brunswick,Internal Medicine,0.4657319262693425,242,117,9,0.0769230769230769,0.9230769230769232,0.2003048877235076,0.3049648309455072,33,58,Medium,Medium,Core / Maintenance,3,0.2379734501182817,Medium Priority,Maintain efficiently
HCP_0104,New Brunswick,Cardiology,0.6490718001942408,243,133,59,0.4436090225563909,0.5563909774436091,-0.0434823305823982,0.0500184894263038,43,35,Medium,Medium,Core / Maintenance,2,-1.0220285640749782,Low Priority,Maintain efficiently
HCP_0105,New Brunswick,Cardiology,0.6490718001942408,305,167,52,0.311377245508982,0.688622754491018,0.0826905675984331,0.3838722813463527,21,78,Low,High,Core / Maintenance,3,-0.16678946854630966,Low Priority,Maintain efficiently
HCP_0106,New Brunswick,Cardiology,0.6490718001942408,371,156,81,0.5192307692307693,0.4807692307692307,0.1000958107785554,0.3349730684691321,30,18,Low,Low,Core / Maintenance,4,-0.5457404197329877,Low Priority,Maintain efficiently
HCP_0107,New Brunswick,Gastroenterology,0.9882464288542132,769,544,142,0.2610294117647059,0.7389705882352942,0.1929303025728172,0.3663935938062498,6,41,Low,Medium,Core / Maintenance,3,0.482304606192163,Medium Priority,Maintain efficiently
HCP_0108,New Brunswick,Neurology,0.5084010438098067,303,172,25,0.1453488372093023,0.8546511627906976,-0.0482326031992094,0.0554751533576019,20,68,Low,High,Core / Maintenance,2,-0.39611190219842923,Low Priority,Maintain efficiently
HCP_0109,New Brunswick,Neurology,0.5084010438098067,312,227,116,0.5110132158590308,0.4889867841409692,0.1810528140778911,0.3768505785250088,15,18,Low,Low,Core / Maintenance,4,-0.42537427428714025,Low Priority,Maintain efficiently
HCP_0110,New Brunswick,Psychiatry,0.3636765436798075,235,174,61,0.3505747126436782,0.6494252873563218,-0.0157486365048322,0.3334259850408366,19,38,Low,Medium,Core / Maintenance,4,-0.42965580253882696,Low Priority,Maintain efficiently
HCP_0111,New Brunswick,Psychiatry,0.3636765436798075,123,60,9,0.15,0.85,-0.1103034885002336,0.3430267000355445,42,68,Medium,High,Core / Maintenance,3,-0.1463494689200736,Low Priority,Maintain efficiently
HCP_0112,New Brunswick,Psychiatry,0.3636765436798075,239,158,71,0.4493670886075949,0.5506329113924051,0.1368963871177396,0.0826505846526889,43,51,Medium,Medium,Core / Maintenance,0,-0.8753098818004212,Low Priority,Maintain efficiently
HCP_0113,New Brunswick,Psychiatry,0.3636765436798075,246,145,48,0.3310344827586207,0.6689655172413793,0.2048910108946913,0.3085723101215092,46,11,Medium,Low,Core / Maintenance,3,-0.22429604695215344,Low Priority,Maintain efficiently
HCP_0114,New Brunswick,Psychiatry,0.3636765436798075,571,429,164,0.3822843822843823,0.6177156177156178,0.3605490768236821,0.3859708413747318,18,82,Low,High,Core / Maintenance,4,0.29820450422658584,Medium Priority,Maintain efficiently
